"tarih","id","score","tahmin_var","olay_varmi","match","toplam_olay_sayisi","tahmin_dogru_number","tahmin_yanlis_number"
"4/8/2017","2121","0.0149668","0","0",,"10",,
"4/8/2017","2161","0.0166543","0","0",,"10",,
"4/8/2017","2203","0.0130266","0","0",,"10",,
"4/8/2017","2204","0.0100261","0","0",,"10",,
"4/8/2017","2244","0.00753372","0","0",,"10",,
"4/8/2017","2245","0.0202257","0","0",,"10",,
"4/8/2017","2246","0.0199418","0","0",,"10",,
"4/8/2017","2285","0.009668","0","0",,"10",,
"4/8/2017","2286","0.0182944","0","0",,"10",,
"4/8/2017","2287","0.0188381","0","0",,"10",,
"3/8/2017","1466","0.0144724","0","0",,"11",,
"3/8/2017","1467","0.00324828","0","0",,"11",,
"3/8/2017","1468","0.00510155","0","0",,"11",,
"3/8/2017","1469","0.0114109","0","0",,"11",,
"3/8/2017","1470","0.00492296","0","0",,"11",,
"3/8/2017","1471","0.0010625","0","0",,"11",,
"3/8/2017","1472","0.00553488","0","0",,"11",,
"3/8/2017","1473","0.0109423","0","0",,"11",,
"3/8/2017","1474","0.00664548","0","0",,"11",,
"3/8/2017","1475","0.0128446","0","0",,"11",,
"3/8/2017","1476","0.00885366","0","0",,"11",,
"3/8/2017","1477","0.00881957","0","0",,"11",,
"3/8/2017","1478","0.00515948","0","0",,"11",,
"3/8/2017","1479","0.00186461","0","0",,"11",,
"3/8/2017","1480","0.0103782","0","0",,"11",,
"3/8/2017","1481","0.002074","0","0",,"11",,
"3/8/2017","1482","0.00208401","0","0",,"11",,
"3/8/2017","1483","0.0138287","0","0",,"11",,
"3/8/2017","1484","0.0140609","0","0",,"11",,
"3/8/2017","1485","0.0148067","0","0",,"11",,
"3/8/2017","1486","0.00269683","0","0",,"11",,
"7/8/2017","3844","0.00312274","0","0",,"10",,
"7/8/2017","3845","0.0213661","0","0",,"10",,
"3/8/2017","1487","0.0146454","0","0",,"11",,
"3/8/2017","1488","0.00514368","0","0",,"11",,
"3/8/2017","1489","0.01206","0","0",,"11",,
"3/8/2017","1490","0.0110819","0","0",,"11",,
"3/8/2017","1491","0.00584322","0","0",,"11",,
"3/8/2017","1492","0.00634907","0","0",,"11",,
"3/8/2017","1493","0.0110458","0","0",,"11",,
"3/8/2017","1494","0.00220816","0","0",,"11",,
"3/8/2017","1495","0.00267295","0","0",,"11",,
"3/8/2017","1496","0.0108154","0","0",,"11",,
"3/8/2017","1497","0.00695336","0","0",,"11",,
"3/8/2017","1498","0.00527082","0","0",,"11",,
"3/8/2017","1499","0.0120232","0","0",,"11",,
"3/8/2017","1500","0.00229007","0","0",,"11",,
"3/8/2017","1501","0.0111584","0","0",,"11",,
"3/8/2017","1502","0.00362346","0","0",,"11",,
"3/8/2017","1503","0.0139293","0","0",,"11",,
"3/8/2017","1506","0.0137836","0","0",,"11",,
"3/8/2017","1507","0.00755403","0","0",,"11",,
"3/8/2017","1508","0.0106695","0","0",,"11",,
"3/8/2017","1509","0.00245738","0","0",,"11",,
"3/8/2017","1510","0.0125394","0","0",,"11",,
"3/8/2017","1511","0.00445747","0","0",,"11",,
"3/8/2017","1512","0.014983","0","0",,"11",,
