LONGITUDE,LATITUDE,boylam,enlem,ilkodu,il_title,il_upper,e_zayif,ez_belcev,ez_kalcac,ez_length,ez_weight,ez_vk_ind,e_normal,en_belcev,en_kalcac,en_length,en_weight,en_vk_ind,e_fazla,ef_belcev,ef_kalcac,ef_length,ef_weight,ef_vk_ind,e_evre1,ee1_belcev,ee1_kalcac,ee1_length,ee1_weight,ee1_vk_ind,e_evre2,ee2_belcev,ee2_kalcac,ee2_length,ee2_weight,ee2_vk_ind,e_evre3,ee3_belcev,ee3_kalcac,ee3_length,ee3_weight,ee3_vk_ind,k_zayif,kz_belcev,kz_kalcac,kz_length,kz_weight,kz_vk_ind,k_normal,kn_belcev,kn_kalcac,kn_length,kn_weight,kn_vk_ind,k_fazla,kf_belcev,kf_kalcac,kf_length,kf_weight,kf_vk_ind,k_evre1,ke1_belcev,ke1_kalcac,ke1_length,ke1_weight,ke1_vk_ind,k_evre2,ke2_belcev,ke2_kalcac,ke2_length,ke2_weight,ke2_vk_ind,k_evre3,ke3_belcev,ke3_kalcac,ke3_length,ke3_weight,ke3_vk_ind,eobez_sayi,kobez_sayi,toplam_obe,erkek_sayi,kadin_sayi,toplam_say,eobez_oran,kobez_oran,obez_oran,eobez_yuzd,kobez_yuzd,obez_yuzde
32.49598144° E,37.87230952° N,32.495981,37.872310,42.000000,Konya,KONYA,3735.000000,8.097500,9.164700,1.271500,26.064500,14.909400,7125.000000,55.107600,61.805300,1.684300,63.805900,22.174600,7493.000000,78.190700,82.722500,1.723500,81.584500,27.405400,3993.000000,94.205900,95.778400,1.715700,94.317800,31.991200,945.000000,105.512200,105.200000,1.711500,108.157600,36.849000,301.000000,103.631200,103.378700,1.577100,183.665800,93.352900,4289.000000,11.800900,14.879900,1.270100,25.096800,14.024400,8395.000000,56.926600,71.259600,1.592000,56.354500,22.085100,10926.000000,80.470100,96.112900,1.601700,70.990800,27.635900,11371.000000,92.103700,107.568000,1.590600,81.935000,32.346700,5788.000000,101.321000,116.652000,1.577200,92.474100,37.127200,3019.000000,109.492200,125.752200,1.550700,116.609800,49.960000,5239.000000,20178.000000,25417.000000,23592.000000,43788.000000,67380.000000,0.222067,0.460811,0.377219,22.206680,46.081118,37.721876
29.98437311° E,39.41958513° N,29.984373,39.419585,43.000000,Kütahya,KÜTAHYA,454.000000,11.618900,13.614500,1.405500,32.480200,15.409200,1415.000000,69.421900,79.191500,1.703300,64.772200,22.175700,1422.000000,92.909300,100.121700,1.719400,81.271000,27.437200,728.000000,103.862600,107.065900,1.698500,92.299200,31.927900,196.000000,113.923500,114.872400,1.701100,106.806100,36.812900,45.000000,122.066700,119.777800,1.637100,145.933300,76.036900,572.000000,22.753500,29.573400,1.425200,34.011700,15.965500,2057.000000,65.658200,82.903700,1.598200,56.662100,22.127200,1984.000000,86.203600,103.074600,1.585200,69.466600,27.600900,2098.000000,96.111100,112.101500,1.578900,80.828500,32.375200,1277.000000,104.354700,120.866100,1.563600,91.053300,37.188100,709.000000,111.633300,129.187600,1.542000,115.615500,55.148200,969.000000,4084.000000,5053.000000,4260.000000,8697.000000,12957.000000,0.227465,0.469587,0.389982,22.746479,46.958721,38.998225
38.31344637° E,38.34149964° N,38.313446,38.341500,44.000000,Malatya,MALATYA,1684.000000,8.647300,10.015400,1.393500,32.132200,15.675300,4521.000000,58.954400,65.949100,1.686100,63.606700,22.150900,3124.000000,87.312700,93.131900,1.721000,80.922400,27.252900,1078.000000,99.068600,102.123400,1.718600,94.474100,31.927400,180.000000,107.761100,110.461100,1.702100,107.016700,36.832600,109.000000,95.137600,98.908300,1.297400,123.119300,123.042500,1831.000000,12.172000,15.435300,1.372300,30.729600,15.292800,4615.000000,56.668300,68.896600,1.602000,56.608200,21.938700,3421.000000,82.606300,96.616200,1.607100,70.968700,27.440900,2611.000000,94.672200,108.029100,1.592000,82.005900,32.315200,1062.000000,101.137500,114.081000,1.579200,92.669300,37.103500,534.000000,108.359600,123.831500,1.513600,108.794200,57.621100,1367.000000,4207.000000,5574.000000,10696.000000,14074.000000,24770.000000,0.127805,0.298920,0.225030,12.780479,29.891999,22.503028
27.43365656° E,38.62226990° N,27.433657,38.622270,45.000000,Manisa,MANÝSA,56.000000,32.321400,34.785700,1.475700,34.775000,14.995200,390.000000,67.287200,77.005100,1.739700,67.892300,22.362000,636.000000,92.878900,99.429200,1.735700,83.380200,27.640100,489.000000,105.683000,109.177900,1.719400,95.327500,32.203100,118.000000,111.618600,113.025400,1.701800,107.050800,36.898400,39.000000,114.076900,114.743600,1.666700,157.853800,58.974600,108.000000,50.194400,61.490700,1.516400,34.092600,14.508400,645.000000,69.330200,87.406200,1.619300,58.931600,22.430900,2245.000000,85.486000,103.521600,1.602900,71.277800,27.717700,2507.000000,95.293600,112.688100,1.590300,82.132400,32.434100,1075.000000,103.740500,121.066000,1.581000,93.021000,37.163600,489.000000,111.889600,130.135000,1.563600,117.525700,53.697500,646.000000,4071.000000,4717.000000,1728.000000,7069.000000,8797.000000,0.373843,0.575895,0.536206,37.384259,57.589475,53.620552
36.92770393° E,37.57726008° N,36.927704,37.577260,46.000000,Kahramanmaraþ,KAHRAMANMARAÞ,1004.000000,7.297800,8.893400,1.358200,29.720400,14.895900,2006.000000,53.818000,62.223300,1.687300,62.750800,21.864700,1264.000000,87.069600,93.640000,1.715600,80.805000,27.391300,676.000000,99.420100,102.079900,1.711100,93.708600,31.957100,161.000000,105.764000,106.335400,1.707400,108.498100,37.032000,72.000000,99.472200,101.763900,1.536100,147.570800,124.058200,1288.000000,8.358700,10.667700,1.282800,23.716400,12.190500,2137.000000,52.028500,65.814200,1.583400,55.312600,21.972800,1864.000000,81.512900,97.105700,1.592300,70.148000,27.627600,2024.000000,94.644300,108.962900,1.587300,81.738100,32.403600,1187.000000,103.501300,117.639400,1.574200,92.223500,37.169700,670.000000,112.374600,127.506000,1.548600,111.272400,49.739100,909.000000,3881.000000,4790.000000,5183.000000,9170.000000,14353.000000,0.175381,0.423228,0.333728,17.538105,42.322792,33.372814
40.73778710° E,37.31228804° N,40.737787,37.312288,47.000000,Mardin,MARDÝN,107.000000,9.607500,11.775700,1.351400,30.290700,15.464500,323.000000,58.603700,68.359100,1.692700,64.459400,22.303300,202.000000,82.118800,89.346500,1.720600,81.224300,27.356600,95.000000,96.789500,100.421100,1.710700,93.328400,31.830200,32.000000,112.875000,112.625000,1.721600,108.843800,36.650900,62.000000,15.080600,13.338700,1.547300,163.016100,114.707300,111.000000,20.207200,26.270300,1.346600,29.415300,15.199700,405.000000,59.575300,78.795100,1.602800,56.735800,22.007100,388.000000,82.734500,100.881400,1.606100,70.945600,27.465800,1221.000000,108.850100,118.129400,1.606400,82.525200,31.950800,328.000000,108.862800,119.932900,1.594800,93.880800,36.867900,279.000000,51.487500,58.315400,1.531000,151.855600,73.331800,189.000000,1828.000000,2017.000000,821.000000,2732.000000,3553.000000,0.230207,0.669107,0.567689,23.020706,66.910688,56.768928
28.36262115° E,37.21596622° N,28.362621,37.215966,48.000000,Muðla,MUÐLA,4537.000000,7.853600,9.168200,1.317700,28.962300,15.903200,11683.000000,65.919600,74.231600,1.685100,64.272600,22.412600,11917.000000,87.831400,93.650800,1.718500,80.812000,27.314700,5013.000000,99.773000,101.868100,1.711900,93.900000,31.984900,1166.000000,111.720400,110.373900,1.709900,108.092700,36.902100,395.000000,118.916500,116.073400,1.589600,127.763500,74.779900,4682.000000,13.193700,17.036100,1.332900,29.805700,15.963000,12692.000000,61.903400,76.140500,1.591700,56.320800,22.116900,10080.000000,83.108200,96.223600,1.591900,69.522200,27.394600,6611.000000,94.192100,106.331600,1.579400,80.335100,32.157800,2875.000000,104.097400,116.006600,1.572400,91.980800,37.140100,1491.000000,113.998700,127.984600,1.553600,109.567300,46.828700,6574.000000,10977.000000,17551.000000,34711.000000,38431.000000,73142.000000,0.189392,0.285629,0.239958,18.939241,28.562879,23.995789
41.48897827° E,38.73219587° N,41.488978,38.732196,49.000000,Muþ,MUÞ,342.000000,9.333300,11.058500,1.344000,30.074900,15.922300,1037.000000,67.973000,82.322100,1.704900,65.524600,22.358600,634.000000,87.703500,100.608800,1.731200,81.490200,27.148700,110.000000,99.000000,103.345500,1.719300,94.036400,31.746500,18.000000,97.666700,101.444400,1.720600,107.000000,36.114000,9.000000,80.666700,84.777800,1.391100,291.333300,181.320800,382.000000,13.586400,17.293200,1.371200,31.510500,16.123700,1048.000000,65.467600,82.569700,1.609000,57.761300,22.186100,712.000000,83.316000,101.294900,1.619200,71.670400,27.297400,289.000000,97.719700,110.311400,1.600500,82.121100,32.042100,104.000000,108.182700,118.221200,1.589900,93.822100,37.088600,47.000000,101.468100,108.468100,1.490400,135.395700,65.346300,137.000000,440.000000,577.000000,2150.000000,2582.000000,4732.000000,0.063721,0.170411,0.121936,6.372093,17.041053,12.193576
34.72325927° E,38.62957600° N,34.723259,38.629576,50.000000,Nevþehir,NEVÞEHÝR,1181.000000,4.447900,5.055000,1.261900,26.935900,16.038700,1592.000000,51.321000,57.571600,1.612400,58.454500,21.801500,1648.000000,86.831900,93.318000,1.714300,80.965100,27.483100,980.000000,99.590800,102.883700,1.705200,93.752600,32.180500,250.000000,109.980000,111.200000,1.704000,107.244000,36.842500,105.000000,95.114300,98.190500,1.531100,166.114300,88.326800,1333.000000,8.708900,10.856700,1.282200,27.929100,15.955800,2260.000000,53.204900,65.968600,1.567300,54.372600,21.869100,2887.000000,84.983000,100.549000,1.598200,70.841100,27.688800,2915.000000,94.707700,109.721400,1.584300,81.533800,32.436100,1482.000000,100.914300,115.233500,1.568700,91.637700,37.174700,884.000000,107.772600,122.781700,1.533400,117.198800,55.823500,1335.000000,5281.000000,6616.000000,5756.000000,11761.000000,17517.000000,0.231932,0.449026,0.377690,23.193190,44.902644,37.769024
34.67665250° E,37.97004239° N,34.676652,37.970042,51.000000,Niðde,NÝÐDE,123.000000,6.016300,7.235800,1.312400,28.136600,15.730800,336.000000,58.967300,66.318500,1.664100,62.579500,22.211900,489.000000,85.799600,91.347600,1.713900,80.988800,27.503800,348.000000,99.856300,103.456900,1.715100,93.908000,31.864800,72.000000,107.166700,109.263900,1.710100,108.152800,36.905400,31.000000,111.032300,112.129000,1.649400,134.967700,51.696800,173.000000,10.173400,13.242800,1.303200,27.882700,15.609400,709.000000,63.352600,79.627600,1.584500,56.572800,22.401600,1280.000000,82.822700,99.539800,1.596300,70.490600,27.627400,1377.000000,93.625300,109.199700,1.581300,80.953200,32.328700,707.000000,102.087700,118.028300,1.573400,91.755400,37.017700,341.000000,108.733100,124.044000,1.539600,114.851300,50.845300,451.000000,2425.000000,2876.000000,1399.000000,4587.000000,5986.000000,0.322373,0.528668,0.480454,32.237312,52.866797,48.045439
